Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149912,-,b'Haryana',b'India',28.42,77.41,5,201,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,,,,Clearsky DNI,,,,Dew Point,,DNI,,,,Relative Humidity,,,Pressure,,,Wind Speed,,,,,,,,,,,,,,,,,,,,
2020,1,2,23,0,12.8,,,,0,,,,9.2,,0,,,,78.63,,,997,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,0,0,12.4,,,,0,,,,9.3,,0,,,,81.37,,,996,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,3,1,0,11.9,,,,0,,,,9.5,,0,,,,85.04,,,996,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,3,2,0,11,,,,0,,,,9.7,,0,,,,91.42,,,995,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,3,3,0,10.1,,,,0,,,,9.9,,0,,,,98.5,,,995,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,3,4,0,9.2,,,,0,,,,9.2,,0,,,,100,,,995,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,3,5,0,8.7,,,,0,,,,8.7,,0,,,,100,,,995,,,1.1,,,,,,,,,,,,,,,,,,,,
2020,1,3,6,0,8.4,,,,0,,,,8.4,,0,,,,100,,,996,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,7,0,10.4,,,,13,,,,10.3,,13,,,,99.56,,,996,,,1.2,,,,,,,,,,,,,,,,,,,,
2020,1,3,8,0,12.9,,,,148,,,,10.7,,148,,,,86.42,,,997,,,1.8,,,,,,,,,,,,,,,,,,,,
2020,1,3,9,0,16.2,,,,264,,,,11.1,,264,,,,71.8,,,998,,,2,,,,,,,,,,,,,,,,,,,,
2020,1,3,10,0,18.4,,,,372,,,,11.3,,372,,,,63.24,,,997,,,1.7,,,,,,,,,,,,,,,,,,,,
2020,1,3,11,0,19.9,,,,554,,,,11.1,,554,,,,56.92,,,996,,,1.3,,,,,,,,,,,,,,,,,,,,
2020,1,3,12,0,20.8,,,,583,,,,10.5,,583,,,,51.79,,,994,,,0.9,,,,,,,,,,,,,,,,,,,,
2020,1,3,13,0,21.1,,,,567,,,,9.8,,567,,,,48.53,,,993,,,0.9,,,,,,,,,,,,,,,,,,,,
2020,1,3,14,0,20.9,,,,500,,,,9.4,,500,,,,47.87,,,993,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,15,0,20.2,,,,393,,,,9.4,,393,,,,49.78,,,993,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,16,0,18.2,,,,215,,,,10.3,,215,,,,59.93,,,993,,,0.7,,,,,,,,,,,,,,,,,,,,
2020,1,3,17,0,16.8,,,,0,,,,9.1,,0,,,,60.61,,,993,,,0.9,,,,,,,,,,,,,,,,,,,,
2020,1,3,18,0,15.9,,,,0,,,,9.2,,0,,,,64.3,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,19,0,15.1,,,,0,,,,9.2,,0,,,,67.82,,,994,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,20,0,14.4,,,,0,,,,9.3,,0,,,,71.27,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,21,0,13.6,,,,0,,,,9.4,,0,,,,75.67,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,22,0,12.9,,,,0,,,,9.5,,0,,,,79.99,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,3,23,0,12.2,,,,0,,,,9.7,,0,,,,84.63,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,4,0,0,11.6,,,,0,,,,9.8,,0,,,,88.92,,,995,,,1,,,,,,,,,,,,,,,,,,,,
2020,1,4,1,0,11.2,,,,0,,,,9.9,,0,,,,91.95,,,994,,,0.9,,,,,,,,,,,,,,,,,,,,
2020,1,4,2,0,10.8,,,,0,,,,10,,0,,,,94.9,,,994,,,0.8,,,,,,,,,,,,,,,,,,,,
2020,1,4,3,0,10.4,,,,0,,,,10,,0,,,,97.56,,,994,,,0.8,,,,,,,,,,,,,,,,,,,,
2020,1,4,4,0,9.9,,,,0,,,,9.9,,0,,,,100,,,993,,,0.7,,,,,,,,,,,,,,,,,,,,
2020,1,4,5,0,9.4,,,,0,,,,9.4,,0,,,,100,,,994,,,0.7,,,,,,,,,,,,,,,,,,,,
2020,1,4,6,0,9.2,,,,0,,,,9.2,,0,,,,100,,,994,,,0.7,,,,,,,,,,,,,,,,,,,,
2020,1,4,7,0,10.1,,,,22,,,,9.6,,22,,,,96.74,,,995,,,0.7,,,,,,,,,,,,,,,,,,,,
